REGION,Doedsaarsag,Koen2,Alder2,Aar,VAERDI
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2004,143
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2005,156
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2006,155
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2007,155
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2008,165
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2009,165
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2010,153
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2011,148
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2012,174
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2013,162
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2014,166
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2015,163
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,65-69,2016,147
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2002,232
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2003,231
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2004,171
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2005,204
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2006,203
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2007,188
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2008,166
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2009,187
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2010,178
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2011,174
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2012,169
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2013,185
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2014,186
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2015,208
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,70-74,2016,216
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2002,296
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2003,243
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2004,253
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2005,233
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2006,254
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2007,226
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2008,244
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2009,236
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2010,201
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2011,253
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2012,216
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2013,218
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2014,230
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2015,215
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,75-79,2016,227
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2002,329
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2003,318
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2004,274
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2005,330
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2006,302
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2007,320
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2008,258
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2009,301
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2010,242
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2011,270
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2012,268
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2013,268
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2014,272
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2015,267
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,80-84,2016,276
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2002,662
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2003,667
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2004,637
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2005,635
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2006,592
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2007,586
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2008,574
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2009,603
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2010,591
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2011,541
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2012,577
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2013,559
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2014,572
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2015,611
Hele landet,A-05 Endokrine og ernæringsbetingede sygdomme samt stofskiftesygdomme,Begge køn,85+,2016,574
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2002,2.246
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2003,2.046
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2004,2.194
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2005,2.539
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2006,2.728
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2007,2.880
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2008,3.071
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2009,3.115
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2010,3.131
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2011,3.088
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2012,3.152
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2013,3.274
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2014,3.242
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2015,3.506
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,Alle aldre,2016,3.541
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2002,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2003,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2004,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2005,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2006,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2007,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2008,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2009,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2010,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2011,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2012,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2013,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2014,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2015,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,5-9,2016,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2002,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2003,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2004,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2005,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2006,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2007,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2008,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2009,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2010,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2011,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2012,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2013,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2014,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2015,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,10-14,2016,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2002,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2003,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2004,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2005,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2006,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2007,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2008,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2009,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2010,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2011,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2012,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2013,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2014,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2015,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,15-19,2016,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2002,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2003,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2004,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2005,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2006,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2007,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2008,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2009,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2010,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2011,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2012,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2013,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2014,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2015,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,20-24,2016,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2002,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2003,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2004,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2005,8
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2006,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2007,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2008,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2009,6
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2010,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2011,7
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2012,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2013,-
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2014,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2015,5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,25-29,2016,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2002,11
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2003,5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2004,6
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2005,12
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2006,12
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2007,7
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2008,13
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2009,9
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2010,13
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2011,11
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2012,5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2013,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2014,6
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2015,<5
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,30-34,2016,8
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2002,26
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2003,19
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2004,36
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2005,18
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2006,16
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2007,19
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2008,22
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2009,12
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2010,17
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2011,16
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2012,16
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2013,10
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2014,7
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2015,13
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,35-39,2016,7
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2002,62
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2003,55
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2004,62
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2005,58
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2006,52
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2007,62
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2008,57
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2009,43
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2010,51
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2011,36
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2012,30
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2013,32
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2014,22
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2015,22
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,40-44,2016,16
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2002,98
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2003,107
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2004,99
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2005,91
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2006,98
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2007,101
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2008,84
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2009,64
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2010,82
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2011,90
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2012,71
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2013,63
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2014,56
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2015,59
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,45-49,2016,41
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2002,120
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2003,115
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2004,139
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2005,140
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2006,140
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2007,154
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2008,166
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2009,126
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2010,132
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2011,101
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2012,98
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2013,103
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2014,89
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2015,103
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,50-54,2016,80
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2002,138
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2003,138
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2004,146
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2005,163
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2006,162
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2007,178
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2008,146
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2009,164
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2010,144
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2011,133
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2012,149
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2013,149
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2014,110
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2015,132
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,55-59,2016,129
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,60-64,2002,109
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,60-64,2003,97
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,60-64,2004,147
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,60-64,2005,146
Hele landet,A-06 Psykiske lidelser og adfærdsmæssige forstyrrelser,Begge køn,60-64,2006,172
